Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,62.7,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Algeria,DZA,11.8,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Angola,AGO,..,86.5,76.2,..,65.8,..,..,..,..,55.5,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Antigua and Barbuda,ATG,6.9,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Argentina,ARG,30.5,32.9,23.5,..,20.8,..,..,..,..,16.7,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,14.4,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Bangladesh,BGD,87.3,77.8,66.2,..,61.6,..,..,..,..,55.1,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
