Country.Name	gini_index	pop_living_slums	poverty_headcount_1.9	rural_poverty_headcount	SI.DST.02ND.20	SI.DST.03RD.20	SI.DST.04TH.20	SI.DST.05TH.20	SI.DST.10TH.10	SI.DST.FRST.10	SI.DST.FRST.20	SI.POV.2DAY	SI.POV.GAP2	SI.POV.GAPS	SI.POV.NAGP	SI.POV.NAHC	SI.POV.RUGP	SI.POV.URGP	SI.SPR.PC40	SI.SPR.PC40.ZG	SI.SPR.PCAP	SI.SPR.PCAP.ZG	urban_poverty_headcount
Afghanistan	NA	62.7	NA	38.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.4	35.8	9.3	5.6	NA	NA	NA	NA	27.6
Albania	28.96	NA	1.06	15.3	13.17	17.34	22.81	37.82	22.93	3.66	8.85	6.79	1.43	0.22	2.9	14.3	3	2.9	4.08	-1.2205	7.41	-1.3143	13.6
Algeria	NA	11.8	NA	4.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5	0.8	1.1	NA	NA	NA	NA	5.8
American Samoa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Andorra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Angola	42.72	55.5	30.13	58.3	9.62	14.46	21.94	48.54	32.31	2.07	5.43	54.52	22.54	9.64	12.7	36.6	21.6	5.3	NA	NA	NA	NA	18.7
Antigua and Barbuda	NA	6.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Argentina	42.67	16.7	1.71	NA	9.64	14.92	22.88	47.78	30.75	1.62	4.79	4.28	1.73	0.97	NA	NA	NA	NA	6.95	1.5106	19.28	-0.4311	4.7
Armenia	31.48	14.4	2.31	29.9	12.66	16.87	21.97	40.05	25.74	3.52	8.45	14.62	3.06	0.41	4.5	30	4.5	4.5	3.31	0.6909	6.25	1.642	30
Aruba	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australia	34.94	NA	NA	NA	11.83	16.14	22.79	42.16	26.53	2.58	7.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Austria	30.48	NA	NA	NA	13.29	17.5	23.01	38.41	23.45	2.84	7.78	NA	NA	NA	NA	NA	NA	NA	28.31	0.3749	53.73	0.3934	NA
Azerbaijan	31.79	NA	0.49	NA	12.63	16.51	22	40.45	25.74	3.45	8.42	2.51	0.6	0.16	2	6	NA	NA	NA	NA	NA	NA	NA
Bahamas, The	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bahrain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bangladesh	32.13	55.1	18.52	35.2	12.46	15.97	21.23	41.48	26.92	3.85	8.85	56.8	16.95	3.31	6.5	31.5	7.4	4.3	NA	NA	NA	NA	21.3
Barbados	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Belarus	27.18	NA	0	8.7	13.98	17.66	22.36	36.68	22.56	3.92	9.33	0	0	0	NA	5.1	NA	NA	11.32	8.4625	19.48	8.1584	3.7
Belgium	27.59	NA	NA	NA	14.16	18.01	22.8	36.41	21.96	3.29	8.62	NA	NA	NA	NA	NA	NA	NA	27.29	1.1354	47.92	0.4401	NA
Belize	NA	10.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Benin	43.44	61.5	53.11	39.7	9.63	13.39	20.21	50.72	34.48	2.46	6.06	75.63	37.24	18.98	9.8	36.2	10.5	8.8	NA	NA	NA	NA	31.4
Bermuda	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bhutan	38.81	70	2.17	16.7	10.78	15.04	21.41	46.05	30.74	2.75	6.73	13.33	2.99	0.41	2.6	12	3.6	0.3	3.54	6.5285	8.08	6.468	1.8
